sp,te,type,subtype
Dmel,Idefix,LTR,Gypsy
Dmel,17.6,LTR,Gypsy
Dmel,1731,LTR,Copia
Dmel,297,LTR,Gypsy
Dmel,3S18,LTR,Pao
Dmel,412,LTR,Gypsy
Dmel,aurora-element,LTR,Pao
Dmel,Bari1,DNA,Tc1
Dmel,BS,LINE,Jockey
Dmel,Burdock,LTR,Gypsy
Dmel,copia,LTR,Copia
Dmel,Doc,LINE,Jockey
Dmel,F-element,LINE,Jockey
Dmel,NOF,DNA,MuDR?
Dmel,FB,DNA,Tc1
Dmel,G-element,LINE,Jockey
Dmel,gypsy,LTR,Gypsy
Dmel,hobo,DNA,hAT
Dmel,HB,DNA,Tc1
Dmel,HeT-A,LINE,telomeric
Dmel,I-element,LINE,I
Dmel,jockey,LINE,Jockey
Dmel,hopper,DNA,Transib
Dmel,mdg1,LTR,Gypsy
Dmel,mdg3,LTR,Gypsy
Dmel,micropia,LTR,Gypsy
Dmel,P-element,DNA,P
Dmel,pogo,DNA,Pogo
Dmel,R1A1-element,LINE,R1
Dmel,R2-element,LINE,R2
Dmel,S-element,DNA,Tc1
Dmel,springer,LTR,Gypsy
Dmel,TART-C,LINE,telomeric
Dmel,TART-A,LINE,telomeric
Dmel,TART-B,LINE,telomeric
Dmel,Tirant,LTR,Gypsy
Dmel,flea,LTR,Gypsy
Dmel,opus,LTR,Gypsy
Dmel,roo,LTR,Pao
Dmel,blood,LTR,Gypsy
Dmel,ZAM,LTR,Gypsy
Dmel,GATE,LTR,Pao
Dmel,X-element,LINE,Jockey
Dmel,Transpac,LTR,Gypsy
Dmel,Circe,LINE,Composite
Dmel,Rt1a,LINE,R1
Dmel,Rt1b,LINE,R1
Dmel,Quasimodo,LTR,Gypsy
Dmel,HMS-Beagle,LTR,Gypsy
Dmel,diver,LTR,Pao
Dmel,Tabor,LTR,Gypsy
Dmel,Stalker,LTR,Gypsy
Dmel,INE-1,DNA,NA
Dmel,gtwin,LTR,Gypsy
Dmel,gypsy2,LTR,Gypsy
Dmel,accord,LTR,Gypsy
Dmel,1360,DNA,P
Dmel,gypsy3,LTR,Gypsy
Dmel,invader1,LTR,Gypsy
Dmel,invader2,LTR,Gypsy
Dmel,invader3,LTR,Gypsy
Dmel,G2,LINE,Jockey
Dmel,Cr1a,LINE,CR1
Dmel,Tc1,DNA,Tc1
Dmel,Doc2-element,LINE,Jockey
Dmel,Doc3-element,LINE,Jockey
Dmel,Ivk,LINE,I
Dmel,Rt1c,LINE,R1
Dmel,gypsy4,LTR,Gypsy
Dmel,invader4,LTR,Gypsy
Dmel,baggins,LINE,LOA
Dmel,G3,LINE,Jockey
Dmel,mariner2,DNA,Tc1
Dmel,transib1,DNA,Transib
Dmel,transib3,DNA,Transib
Dmel,transib2,DNA,Transib
Dmel,gypsy5,LTR,Gypsy
Dmel,gypsy6,LTR,Gypsy
Dmel,invader5,LTR,Gypsy
Dmel,diver2,LTR,Pao
Dmel,transib4,DNA,Transib
Dmel,S2,DNA,Tc1
Dmel,Dm88,LTR,Copia
Dmel,Juan,LINE,Jockey
Dmel,frogger,LTR,Copia
Dmel,rover,LTR,Gypsy
Dmel,Tom1,LTR,Gypsy
Dmel,G5,LINE,Jockey
Dmel,G4,LINE,Jockey
Dmel,rooA,LTR,Pao
Dmel,jockey2,LINE,Jockey
Dmel,G6,LINE,Jockey
Dmel,looper1,DNA,PiggyBac
Dmel,accord2,LTR,Gypsy
Dmel,McClintock,LTR,Gypsy
Dmel,Stalker4,LTR,Gypsy
Dmel,hopper2,DNA,Transib
Dmel,Stalker2,LTR,Gypsy
Dmel,Stalker3,LTR,Gypsy
Dmel,Bari2,DNA,Tc1
Dmel,Max-element,LTR,Pao
Dmel,BS3,LINE,Jockey
Dmel,BS4,LINE,Jockey
Dmel,Doc4-element,LINE,Jockey
Dmel,Porto1,LINE,Jockey
Dmel,Fw2,LINE,Jockey
Dmel,Fw3,LINE,Jockey
Dmel,Helitron,RC,Helitron
Dmel,R1-2,LINE,R1
Dmel,Tc1-2,DNA,Tc1
Dmel,G5A,LINE,Jockey
Dmel,G7,LINE,Jockey
Dmel,gypsy7,LTR,Gypsy
Dmel,gypsy8,LTR,Gypsy
Dmel,gypsy9,LTR,Gypsy
Dmel,gypsy10,LTR,Gypsy
Dmel,gypsy11,LTR,Gypsy
Dmel,gypsy12,LTR,Gypsy
Dmel,invader6,LTR,Gypsy
Dmel,Helena,LINE,Jockey
Dmel,Tc3,DNA,Tc3
Dmel,HMS-Beagle2,LTR,Gypsy
Dmel,Q-element,LINE,CR1
Dmel,Osvaldo,LTR,Gypsy
Dmel,TAHRE,LINE,telomeric
Dmel,Xanthias,LTR,Copia
